B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date
0.166,0.0834,0.0448,0.07680000000000001,0.049600000000000005,0.34850000000000003,0.570376307152126,0.7508163777945241,-0.6388431695273925,0.4992205767731879,2023-01-16
0.1988,0.12040000000000001,0.0494,0.0732,0.0543,0.326,0.530125653633029,0.7144359716013673,-0.6332665330661323,0.46296717028285805,2023-01-21
0.19720000000000001,0.1218,0.0244,0.06470000000000001,0.0408,0.30720000000000003,0.4864864864864865,0.7655172413793103,-0.6520570045711213,0.4712264150943396,2023-02-05
0.22690000000000002,0.1484,0.046200000000000005,0.0742,0.063,0.2756,0.40662535383673787,0.6278795038393384,-0.5757575757575758,0.3802766515621274,2023-02-10
0.2003,0.1391,0.0451,0.07440000000000001,0.0668,0.23750000000000002,0.32825660551517255,0.5609595793624713,-0.5229240141070857,0.31835136143230136,2023-02-15
,,,,,,,,,,2023-02-20
0.2577,0.2273,0.0678,0.1018,0.1208,0.21430000000000002,0.16339298196560884,0.27902118770516265,-0.3559000316355584,0.1679439588073285,2023-02-25
0.20770000000000002,0.1632,0.059000000000000004,0.08310000000000001,0.099,0.16640000000000002,0.12785492070718568,0.25395629238884704,-0.3338677354709419,0.13208779723020644,2023-03-02
0.2837,0.26990000000000003,0.078,0.1068,0.1368,0.19210000000000002,0.09682050563764974,0.1681362116144725,-0.2853797256607561,0.10007238508867178,2023-03-12
0.2283,0.17300000000000001,0.082,0.10880000000000001,0.1298,0.1835,0.09964373190826097,0.1714012128949888,-0.25555935682517955,0.09904094430099594,2023-03-22
0.3019,0.2422,0.0956,0.1482,0.16160000000000002,0.2656,0.17125543406665783,0.2434456928838951,-0.28371193813436446,0.1682484900776531,2023-03-27
,,,,,,,,,,2023-04-06
0.33080000000000004,0.2772,0.09910000000000001,0.13240000000000002,0.1423,0.32270000000000004,0.3146694575266004,0.3879569892473118,-0.4181498571742474,0.2804145077720207,2023-04-11
0.23620000000000002,0.1637,0.044500000000000005,0.0782,0.0747,0.2466,0.3157488703574446,0.5350140056022409,-0.5184729064039408,0.313953488372093,2023-04-16
